299593-299593	10065	1500673055-1500675316	594-690
299593-299593	10090	1500675317-1500677600	691-788
299593-299593	9734	1500677601-1500680018	789-892
299594-299594	10083	1500680333-1500682780	1-105
299594-299594	10050	1500682780-1500685344	106-215
299594-299594	8209	1500685344-1500687515	216-309
299595-299595	10022	1500688083-1500690715	1-113
299595-299595	1847	1500690715-1500691204	114-134
299597-299597	10044	1500691562-1500694429	3-125
299597-299597	10060	1500694429-1500697342	126-250
299597-299597	10035	1500697343-1500700443	251-383
299597-299597	10004	1500700443-1500703870	384-530
299597-299597	728	1500703870-1500704103	531-540
299649-299649	10000	1500863900-1500865695	151-227
299649-299649	10063	1500865695-1500867443	228-302
299649-299649	3990	1500867443-1500868142	303-332
300087-300087	5806	1501309546-1501313937	41-230
300105-300106	9476	1501330491-1501332784	1-70
300107-300107	6073	1501333079-1501334175	1-47
300117-300117	2725	1501346886-1501347512	41-67
300122-300122	10074	1501364798-1501366618	46-124
300122-300122	10080	1501366619-1501368553	125-207
300122-300122	10037	1501368553-1501370371	208-285
300122-300122	10092	1501370372-1501372423	286-373
300122-300122	10090	1501372423-1501374288	374-453
300122-300122	10078	1501374288-1501376316	454-540
300122-300122	10053	1501376316-1501378344	541-627
300122-300122	10072	1501378344-1501380488	628-719
300122-300122	10061	1501380489-1501382959	720-825
300122-300122	10020	1501382960-1501385174	826-920
300122-300122	10093	1501385174-1501387785	921-1032
300122-300122	10016	1501387785-1501390349	1033-1142
300122-300122	10031	1501390350-1501392983	1143-1255
300122-300122	2613	1501392983-1501393686	1256-1286
300123-300123	10045	1501394277-1501396865	1-111
300123-300123	10037	1501396865-1501399639	112-230
300123-300123	10057	1501399639-1501402529	231-354
300123-300123	10043	1501402529-1501405723	355-491
300123-300123	8069	1501405723-1501408316	492-603
300155-300155	10005	1501440637-1501442630	37-122
